ID|domain|text|USER_age|USER_gender|USER_domain_knowledge|KEYFACTS_annotator1|KEYFACTS_annotator2|KEYFACTS_annotator3|KEYFACTS_annotator4|KEYFACTS_annotation_by_2|KEYFACTS_IAA|KEYFACTS_segments|VAGUE_annotator1|VAGUE_annotator2|VAGUE_annotator3|VAGUE_annotator4|VAGUE_annotation_by_2|VAGUE_IAA|
1859|laptop|I would buy a 15 inch screen with 320gb hard drive second hand from ebay|41|male|4|[['15', 14], ['inch', 17], ['screen', 22], ['with', 29], ['320gb', 34], ['hard', 40], ['drive', 45]]|[['15', 14], ['inch', 17], ['screen', 22], ['320gb', 34], ['hard', 40], ['drive', 45], ['second', 51], ['hand', 58], ['from', 63], ['ebay', 68]]|[['15', 14], ['inch', 17], ['screen', 22], ['320gb', 34], ['hard', 40], ['drive', 45], ['second', 51], ['hand', 58], ['from', 63], ['ebay', 68]]||[['15', 14], ['inch', 17], ['screen', 22], ['320gb', 34], ['hard', 40], ['drive', 45], ['second', 51], ['hand', 58], ['from', 63], ['ebay', 68]]|0.5473251028806585|['ebay', 'second hand', '320gb hard drive ', '15 inch screen']|[['hand', 58], ['from', 63]]|[]|[]||[]|1.0|
1861|laptop|I would look for a Windows 10 laptop nearer the top end of specification. I'd prefer an SSD and at least 8Gb of RAM|48|male|6|[['windows', 19], ['10', 27], ['laptop', 30], ['ssd', 88], ['8gb', 105], ['of', 109], ['ram', 112]]|[['windows', 19], ['10', 27], ['laptop', 30], ['ssd', 88], ['at', 96], ['least', 99], ['8gb', 105], ['of', 109], ['ram', 112]]|[['windows', 19], ['10', 27], ['top', 48], ['end', 52], ['of', 56], ['specification', 59], ['ssd', 88], ['and', 92], ['8gb', 105], ['of', 109], ['ram', 112]]||[['windows', 19], ['10', 27], ['laptop', 30], ['ssd', 88], ['8gb', 105], ['of', 109], ['ram', 112]]|0.5432098765432098|['8Gb of RAM', 'SSD ', 'top end of specification', 'Windows 10']|[['top', 48], ['end', 52], ['of', 56]]|[['nearer', 37], ['the', 44], ['top', 48], ['end', 52], ['prefer', 78], ['an', 85], ['at', 96], ['least', 99]]|[]||[['top', 48], ['end', 52]]|0.20046620046620056|
1862|laptop|I will choose a laptop that is rated very good to use. one with a high processing power and can run multiple games on. one that is easy to download and run external applications on. I would also want it to be slick and not bulky. knowing this could be expensive I will opt for the model released just prior to the latest model and that is preferable on sale.|23|female|4|[['high', 66], ['processing', 71], ['power', 82], ['slick', 209], ['and', 215], ['bulky', 223]]|[['rated', 31], ['very', 37], ['good', 42], ['to', 47], ['use', 50], ['high', 66], ['processing', 71], ['power', 82], ['run', 96], ['multiple', 100], ['games', 109], ['easy', 131], ['to', 136], ['download', 139], ['run', 152], ['external', 156], ['applications', 165], ['on', 178], ['slick', 209], ['bulky', 223]]|[['rated', 31], ['very', 37], ['good', 42], ['high', 66], ['processing', 71], ['power', 82], ['slick', 209], ['and', 215], ['bulky', 223], ['latest', 314], ['model', 321], ['sale', 353]]||[['rated', 31], ['very', 37], ['good', 42], ['high', 66], ['processing', 71], ['power', 82], ['slick', 209], ['and', 215], ['bulky', 223]]|0.3924418604651163|['preferable on sale', 'bulky', 'slick', 'run external applications on', 'easy to download', 'run multiple games', 'high processing power', 'rated very good to us']|[['good', 42], ['to', 47], ['high', 66], ['processing', 71], ['easy', 131], ['to', 136], ['slick', 209], ['and', 215], ['bulky', 223], ['expensive', 252], ['i', 262], ['latest', 314], ['model', 321]]|[['good', 42], ['high', 66], ['easy', 131], ['slick', 209], ['expensive', 252]]|[['very', 37], ['good', 42], ['to', 47], ['high', 66], ['easy', 131], ['expensive', 252], ['i', 262], ['latest', 314], ['model', 321], ['preferable', 339]]||[['good', 42], ['to', 47], ['high', 66], ['easy', 131], ['slick', 209], ['expensive', 252], ['i', 262], ['latest', 314], ['model', 321]]|0.548861852433281|
1863|laptop|I would buy a Microsoft laptop.  It is light and has many features to help me with work related activities.|58|female|2|[['microsoft', 14], ['laptop', 24], ['light', 39], ['and', 45]]|[['microsoft', 14], ['light', 39], ['many', 53], ['features', 58]]|[['microsoft', 14], ['laptop', 24], ['light', 39], ['and', 45]]||[['microsoft', 14], ['laptop', 24], ['light', 39], ['and', 45]]|0.5902777777777778|['work related activities', 'many features', 'light', 'Microsoft']|[['light', 39], ['and', 45], ['many', 53], ['features', 58]]|[['light', 39], ['many', 53]]|[['light', 39], ['and', 45], ['many', 53], ['features', 58]]||[['light', 39], ['and', 45], ['many', 53], ['features', 58]]|0.764|
1864|laptop|A laptop that has a modern appearance with the latest software downloaded. I would ideally like a laptop that came with high levels of storage and has a fast charging system. Ideally the laptop would come with a wireless mouse and have a webcam fitted. |39|female|2|[['modern', 20], ['appearance', 27], ['latest', 47], ['software', 54], ['high', 120], ['levels', 125], ['of', 132], ['storage', 135], ['fast', 153], ['charging', 158], ['system', 167], ['wireless', 212], ['mouse', 221], ['webcam', 238], ['fitted', 245]]|[['modern', 20], ['appearance', 27], ['latest', 47], ['software', 54], ['downloaded', 63], ['high', 120], ['levels', 125], ['of', 132], ['storage', 135], ['fast', 153], ['charging', 158], ['system', 167], ['wireless', 212], ['mouse', 221], ['webcam', 238], ['fitted', 245]]|[['modern', 20], ['appearance', 27], ['latest', 47], ['software', 54], ['high', 120], ['levels', 125], ['of', 132], ['storage', 135], ['fast', 153], ['charging', 158], ['system', 167], ['wireless', 212], ['mouse', 221], ['webcam', 238]]||[['modern', 20], ['appearance', 27], ['latest', 47], ['software', 54], ['high', 120], ['levels', 125], ['of', 132], ['storage', 135], ['fast', 153], ['charging', 158], ['system', 167], ['wireless', 212], ['mouse', 221], ['webcam', 238], ['fitted', 245]]|0.9338271604938272|['webcam fitted', 'wireless mouse', ' fast charging system', ' high levels of storage', 'latest software downloaded', 'modern appearance']|[['modern', 20], ['appearance', 27], ['latest', 47], ['software', 54], ['high', 120], ['levels', 125], ['fast', 153], ['charging', 158]]|[['high', 120], ['fast', 153]]|[['modern', 20], ['appearance', 27], ['latest', 47], ['software', 54], ['high', 120], ['levels', 125], ['fast', 153], ['charging', 158]]||[['modern', 20], ['appearance', 27], ['latest', 47], ['software', 54], ['high', 120], ['levels', 125], ['fast', 153], ['charging', 158]]|0.6182336182336182|
1866|laptop|I would choose a laptop that is windows based. I would look for a solid state drive, that has at least 8 gigs or ram, and have a fingerprint scanner to log into websites and the computer. I would prefer something that has a lot of battery life in it.|34|male|5|[['windows', 32], ['based', 40], ['solid', 66], ['state', 72], ['drive', 78], ['8', 103], ['gigs', 105], ['or', 110], ['ram', 113], ['fingerprint', 129], ['scanner', 141], ['lot', 224], ['of', 228], ['battery', 231], ['life', 239]]|[['windows', 32], ['solid', 66], ['state', 72], ['drive', 78], ['at', 94], ['least', 97], ['8', 103], ['gigs', 105], ['or', 110], ['ram', 113], ['fingerprint', 129], ['scanner', 141], ['to', 149], ['of', 228], ['battery', 231], ['life', 239]]|[['windows', 32], ['based', 40], ['solid', 66], ['state', 72], ['drive', 78], ['least', 97], ['8', 103], ['gigs', 105], ['or', 110], ['ram', 113], ['fingerprint', 129], ['scanner', 141], ['lot', 224], ['of', 228], ['battery', 231], ['life', 239], ['in', 244]]||[['windows', 32], ['based', 40], ['solid', 66], ['state', 72], ['drive', 78], ['least', 97], ['8', 103], ['gigs', 105], ['or', 110], ['ram', 113], ['fingerprint', 129], ['scanner', 141], ['lot', 224], ['of', 228], ['battery', 231], ['life', 239]]|0.8174019607843137|['a lot of battery life ', 'fingerprint scanner', 'at least 8 gigs or ram', 'solid state drive', 'windows']|[['solid', 66], ['state', 72], ['lot', 224], ['of', 228]]|[['solid', 66], ['lot', 224]]|[['solid', 66], ['lot', 224], ['of', 228]]||[['solid', 66], ['lot', 224], ['of', 228]]|0.7651694247438928|
1868|laptop|my new laptop must be beautiful and powerful at the same time|32|male|6|[['beautiful', 22], ['and', 32], ['powerful', 36], ['at', 45]]|[['beautiful', 22], ['powerful', 36]]|[['beautiful', 22], ['and', 32], ['powerful', 36], ['at', 45]]||[['beautiful', 22], ['and', 32], ['powerful', 36], ['at', 45]]|0.7307692307692308|['powerful', 'beautiful']|[['new', 3], ['laptop', 7], ['beautiful', 22], ['and', 32], ['powerful', 36], ['at', 45]]|[['beautiful', 22], ['powerful', 36]]|[['beautiful', 22], ['and', 32], ['powerful', 36], ['at', 45]]||[['beautiful', 22], ['and', 32], ['powerful', 36], ['at', 45]]|0.5138888888888888|
1869|laptop|"My new laptop would have a large screen -- 17"". It would be a touch screen. I would buy a laptop with the Windows 10 OS. I would like a laptop with a solid state drive, but my decision depends on the price difference between an hdd and ssd. I would make sure that the new laptop had a full version of MS Office and not a trial version or a monthly service version. I would also want a laptop with a one year warranty against accidental damage.."|47|male|5|[['large', 27], ['screen', 33], ['17', 43], ['touch', 62], ['screen', 68], ['windows', 106], ['10', 114], ['os', 117], ['solid', 150], ['state', 156], ['drive', 162]]|[['large', 27], ['screen', 33], ['17', 43], ['touch', 62], ['screen', 68], ['windows', 106], ['10', 114], ['os', 117], ['solid', 150], ['state', 156], ['drive', 162], ['decision', 176], ['depends', 185], ['on', 193], ['the', 196], ['price', 200], ['difference', 206], ['between', 217], ['an', 225], ['hdd', 228], ['and', 232], ['ssd', 236], ['full', 285], ['version', 290], ['of', 298], ['ms', 301], ['office', 304], ['one', 399], ['year', 403], ['warranty', 408], ['against', 417], ['accidental', 425], ['damage', 436]]|[['large', 27], ['screen', 33], ['17', 43], ['touch', 62], ['screen', 68], ['windows', 106], ['10', 114], ['os', 117], ['solid', 150], ['state', 156], ['drive', 162], ['price', 200], ['difference', 206], ['between', 217], ['an', 225], ['hdd', 228], ['and', 232], ['ssd', 236], ['full', 285], ['version', 290], ['of', 298], ['ms', 301], ['office', 304], ['and', 311], ['warranty', 408], ['against', 417], ['accidental', 425], ['damage', 436]]||[['large', 27], ['screen', 33], ['17', 43], ['touch', 62], ['screen', 68], ['windows', 106], ['10', 114], ['os', 117], ['solid', 150], ['state', 156], ['drive', 162], ['price', 200], ['difference', 206], ['between', 217], ['an', 225], ['hdd', 228], ['and', 232], ['ssd', 236], ['full', 285], ['version', 290], ['of', 298], ['ms', 301], ['office', 304], ['warranty', 408], ['against', 417], ['accidental', 425], ['damage', 436]]|0.5605526161081716|['one year warranty against accidental damage', 'full version of MS Office', 'price difference between an hdd and ssd', 'solid state drive', 'Windows 10 OS', 'touch screen', 'large screen -- 17"']|[['new', 3], ['laptop', 7], ['large', 27], ['screen', 33], ['solid', 150], ['state', 156], ['new', 268], ['laptop', 272]]|[['solid', 150]]|[['new', 3], ['laptop', 7], ['large', 27], ['screen', 33], ['solid', 150], ['state', 156], ['new', 268], ['laptop', 272], ['full', 285], ['version', 290]]||[['new', 3], ['laptop', 7], ['large', 27], ['screen', 33], ['solid', 150], ['state', 156], ['new', 268], ['laptop', 272]]|0.491083079599826|
1871|laptop|It has a 13 inch screen and 256GB of memory. It's in the colour space grey and it's the 2017 model. It has a really high quality display and speakers and it has a battery life of at least 10 hours.|20|female|3|[['13', 9], ['inch', 12], ['screen', 17], ['256gb', 28], ['of', 34], ['memory', 37], ['space', 64], ['grey', 70], ['2017', 88], ['model', 93], ['speakers', 141], ['and', 150], ['battery', 163], ['life', 171]]|[['13', 9], ['inch', 12], ['screen', 17], ['256gb', 28], ['of', 34], ['memory', 37], ['colour', 57], ['space', 64], ['grey', 70], ['2017', 88], ['model', 93], ['high', 116], ['quality', 121], ['display', 129], ['battery', 163], ['life', 171], ['of', 176], ['at', 179], ['least', 182], ['10', 188], ['hours', 191]]|[['13', 9], ['inch', 12], ['screen', 17], ['and', 24], ['256gb', 28], ['of', 34], ['memory', 37], ['colour', 57], ['space', 64], ['grey', 70], ['and', 75], ['2017', 88], ['model', 93], ['really', 109], ['high', 116], ['quality', 121], ['display', 129], ['and', 137], ['speakers', 141], ['battery', 163], ['life', 171], ['of', 176], ['at', 179], ['least', 182], ['10', 188], ['hours', 191]]||[['13', 9], ['inch', 12], ['screen', 17], ['256gb', 28], ['of', 34], ['memory', 37], ['colour', 57], ['space', 64], ['grey', 70], ['2017', 88], ['model', 93], ['high', 116], ['quality', 121], ['display', 129], ['speakers', 141], ['battery', 163], ['life', 171], ['of', 176], ['at', 179], ['least', 182], ['10', 188], ['hours', 191]]|0.5371263259402121|['battery life of at least 10 hours', 'high quality display', '2017 model', 'colour space grey', '256GB of memory', '13 inch screen']|[['high', 116], ['quality', 121]]|[['high', 116]]|[['high', 116], ['quality', 121]]||[['high', 116], ['quality', 121]]|0.7935483870967742|
1872|laptop|I want a powerful laptop which has a good quality screen so that I can watch films. It needs to be able to handle multiple programs being open at any time.|30|male|2|[['powerful', 9], ['laptop', 18], ['which', 25], ['good', 37], ['quality', 42], ['screen', 50], ['so', 57]]|[['powerful', 9], ['good', 37], ['quality', 42], ['screen', 50], ['handle', 107], ['multiple', 114], ['programs', 123], ['being', 132], ['open', 138], ['at', 143], ['any', 146], ['time', 150]]|[['powerful', 9], ['laptop', 18], ['good', 37], ['quality', 42], ['screen', 50], ['so', 57]]||[['powerful', 9], ['laptop', 18], ['good', 37], ['quality', 42], ['screen', 50], ['so', 57]]|0.40470588235294125|['handle multiple programs', 'good quality screen', 'powerful']|[['powerful', 9], ['laptop', 18], ['good', 37], ['quality', 42]]|[['good', 37]]|[['good', 37], ['quality', 42]]||[['good', 37], ['quality', 42]]|0.5415282392026578|
1873|laptop|a laptop in pink, with a high processor, plenty of memory, ram and usb ports.top of the range model|32|female|5|[['pink', 12], ['high', 25], ['processor', 30], ['plenty', 41], ['of', 48], ['memory', 51], ['ram', 59], ['usb', 67], ['ports', 71]]|[['laptop', 2], ['in', 9], ['pink', 12], ['high', 25], ['processor', 30], ['plenty', 41], ['of', 48], ['memory', 51], ['ram', 59], ['and', 63], ['usb', 67], ['ports', 71], ['top', 77], ['of', 81], ['the', 84], ['range', 88]]|[['pink', 12], ['high', 25], ['processor', 30], ['plenty', 41], ['of', 48], ['memory', 51], ['ram', 59], ['and', 63], ['usb', 67], ['ports', 71], ['top', 77], ['of', 81], ['the', 84], ['range', 88], ['model', 94]]||[['pink', 12], ['high', 25], ['processor', 30], ['plenty', 41], ['of', 48], ['memory', 51], ['ram', 59], ['and', 63], ['usb', 67], ['ports', 71], ['top', 77], ['of', 81], ['the', 84], ['range', 88]]|0.4099999999999999|['top of the range ', 'plenty of memory, ram and usb ports', 'high processor', 'pink']|[['high', 25], ['processor', 30], ['plenty', 41], ['of', 48], ['top', 77], ['of', 81]]|[['high', 25], ['plenty', 41]]|[['high', 25], ['processor', 30], ['plenty', 41], ['of', 48], ['top', 77], ['of', 81]]||[['high', 25], ['processor', 30], ['plenty', 41], ['of', 48], ['top', 77], ['of', 81]]|0.6335403726708074|
1874|laptop|I would purchase an Apple laptop. I like apple products, they have great customer service support and products that last a long time. I find that Apple products are also very easy to navigate through, So that is why I would choose andApple laptop as a replacement. |40|female|6|[['apple', 20], ['laptop', 26]]|[['apple', 20], ['great', 67], ['customer', 73], ['service', 82], ['support', 90], ['and', 98], ['last', 116], ['a', 121], ['long', 123], ['time', 128]]|[['apple', 20], ['laptop', 26]]||[['apple', 20], ['laptop', 26]]|0.21259842519685035|['Apple']|[['last', 116], ['a', 121], ['long', 123], ['time', 128], ['easy', 175], ['to', 180]]|[['long', 123], ['easy', 175]]|[['great', 67], ['long', 123], ['time', 128], ['very', 170], ['easy', 175], ['to', 180]]||[['long', 123], ['time', 128], ['easy', 175], ['to', 180]]|0.5275590551181102|
1875|laptop|I would chose a MacBook, the latest addition with good processing speeds, more of a day to day computer rather than high spec for gaming. I would go with apple as it is reliable and the screen resolution is much better. In terms of physical description silver, with black keys and 13 inch screen|25|female|4|[['macbook', 16], ['silver', 253], ['black', 266], ['keys', 272], ['and', 277], ['13', 281], ['inch', 284], ['screen', 289]]|[['macbook', 16], ['latest', 29], ['addition', 36], ['good', 50], ['processing', 55], ['speeds', 66], ['high', 116], ['spec', 121], ['for', 126], ['gaming', 130], ['apple', 154], ['reliable', 169], ['screen', 186], ['resolution', 193], ['is', 204], ['much', 207], ['better', 212], ['silver', 253], ['black', 266], ['keys', 272], ['13', 281], ['inch', 284], ['screen', 289]]|[['macbook', 16], ['latest', 29], ['addition', 36], ['with', 45], ['good', 50], ['processing', 55], ['apple', 154], ['as', 160], ['reliable', 169], ['and', 178], ['screen', 186], ['resolution', 193], ['is', 204], ['much', 207], ['better', 212], ['silver', 253], ['black', 266], ['keys', 272], ['and', 277], ['13', 281], ['inch', 284], ['screen', 289]]||[['macbook', 16], ['latest', 29], ['addition', 36], ['good', 50], ['processing', 55], ['apple', 154], ['reliable', 169], ['screen', 186], ['resolution', 193], ['is', 204], ['much', 207], ['better', 212], ['silver', 253], ['black', 266], ['keys', 272], ['and', 277], ['13', 281], ['inch', 284], ['screen', 289]]|0.442617275402458|['13 inch screen', 'black keys ', 'silver', 'screen resolution is much better', 'reliable ', 'apple', 'good processing', 'latest addition ', 'MacBook']|[['latest', 29], ['addition', 36], ['good', 50], ['processing', 55], ['high', 116], ['spec', 121], ['reliable', 169], ['and', 178], ['better', 212]]|[['good', 50], ['high', 116], ['better', 212]]|[['latest', 29], ['addition', 36], ['good', 50], ['processing', 55], ['high', 116], ['spec', 121], ['reliable', 169], ['and', 178]]||[['latest', 29], ['addition', 36], ['good', 50], ['processing', 55], ['high', 116], ['spec', 121], ['reliable', 169], ['and', 178], ['better', 212]]|0.603169014084507|
1876|laptop|I want a new laptop that does all the basic things but does not need to be too high tech, and I don't want a very expensive one, but I do want a brand name I have heard of.|57|female|3|[['new', 9], ['laptop', 13], ['basic', 38], ['things', 44], ['high', 79], ['tech', 84], ['very', 109], ['expensive', 114]]|[['basic', 38], ['things', 44], ['high', 79], ['tech', 84], ['expensive', 114], ['brand', 145], ['name', 151], ['i', 156], ['have', 158], ['heard', 163], ['of', 169]]|[['basic', 38], ['things', 44], ['high', 79], ['tech', 84], ['expensive', 114]]||[['basic', 38], ['things', 44], ['high', 79], ['tech', 84], ['expensive', 114]]|0.53515625|['brand name', 'expensive', 'high tech', 'basic things']|[['new', 9], ['laptop', 13], ['basic', 38], ['things', 44], ['high', 79], ['tech', 84], ['expensive', 114], ['one', 124]]|[['high', 79], ['expensive', 114]]|[['new', 9], ['laptop', 13], ['basic', 38], ['things', 44], ['high', 79], ['tech', 84], ['very', 109], ['expensive', 114], ['one', 124], ['brand', 145], ['name', 151]]||[['new', 9], ['laptop', 13], ['basic', 38], ['things', 44], ['high', 79], ['tech', 84], ['expensive', 114], ['one', 124]]|0.48484848484848475|
1877|laptop|I'm going to buy a slim laptop with excellent screen resolution and a decent graphics card and large memory because I like to watch films and play games. A sleek, attractively designed laptop from a company renowned for good customer service and repairs. I like monochrome colours, without unnecessary lights or gizmos.|26|female|3|[['slim', 19], ['laptop', 24], ['excellent', 36], ['screen', 46], ['decent', 70], ['graphics', 77], ['large', 95], ['memory', 101], ['because', 108], ['sleek', 156], ['attractively', 163], ['designed', 176], ['monochrome', 262], ['colours', 273]]|[['slim', 19], ['excellent', 36], ['screen', 46], ['resolution', 53], ['decent', 70], ['graphics', 77], ['card', 86], ['large', 95], ['memory', 101], ['sleek', 156], ['attractively', 163], ['designed', 176], ['company', 199], ['renowned', 207], ['for', 216], ['good', 220], ['customer', 225], ['service', 234], ['and', 242], ['repairs', 246], ['monochrome', 262], ['colours', 273], ['lights', 302], ['or', 309], ['gizmos', 312]]|[['slim', 19], ['laptop', 24], ['excellent', 36], ['screen', 46], ['resolution', 53], ['decent', 70], ['graphics', 77], ['card', 86], ['large', 95], ['memory', 101], ['because', 108], ['sleek', 156], ['attractively', 163], ['designed', 176], ['monochrome', 262], ['colours', 273], ['unnecessary', 290], ['lights', 302], ['gizmos', 312]]||[['slim', 19], ['laptop', 24], ['excellent', 36], ['screen', 46], ['resolution', 53], ['decent', 70], ['graphics', 77], ['card', 86], ['large', 95], ['memory', 101], ['because', 108], ['sleek', 156], ['attractively', 163], ['designed', 176], ['monochrome', 262], ['colours', 273], ['lights', 302], ['gizmos', 312]]|0.5684533970638443|['lights or gizmos', 'monochrome colours', 'company renowned for good customer service and repairs', 'attractively designed', 'sleek', 'large memory', 'decent graphics card', 'excellent screen resolution', 'slim']|[['slim', 19], ['laptop', 24], ['excellent', 36], ['screen', 46], ['decent', 70], ['graphics', 77], ['large', 95], ['memory', 101], ['sleek', 156], ['attractively', 163], ['designed', 176], ['good', 220], ['customer', 225], ['unnecessary', 290], ['lights', 302]]|[['slim', 19], ['excellent', 36], ['decent', 70], ['large', 95], ['sleek', 156], ['attractively', 163], ['good', 220]]|[['slim', 19], ['laptop', 24], ['excellent', 36], ['screen', 46], ['decent', 70], ['graphics', 77], ['large', 95], ['memory', 101], ['sleek', 156], ['attractively', 163], ['designed', 176]]||[['slim', 19], ['laptop', 24], ['excellent', 36], ['screen', 46], ['decent', 70], ['graphics', 77], ['large', 95], ['memory', 101], ['sleek', 156], ['attractively', 163], ['designed', 176], ['good', 220]]|0.6580086580086579|
1878|laptop|I would choose a laptop with a touch screen and one where I can fold it in half and so it can double-up as a tablet.|45|female|7|[['touch', 31], ['screen', 37]]|[['touch', 31], ['screen', 37], ['fold', 64], ['it', 69], ['in', 72], ['half', 75], ['double', 94], ['up', 101], ['as', 104], ['a', 107], ['tablet', 109]]|[['touch', 31], ['screen', 37], ['fold', 64], ['it', 69], ['in', 72], ['half', 75]]||[['touch', 31], ['screen', 37], ['fold', 64], ['it', 69], ['in', 72], ['half', 75]]|0.38879456706281834|['double-up as a tablet', 'fold it in half', 'touch screen']|[['half', 75], ['and', 80]]|[]|[]||[]|1.0|
1879|laptop|I want to buy a cost efficient laptop that has the ability to run Windows programs like Word. It needs to be able to surf the web to check email, news, facebook etc. It also needs to be reliable and highly rated by consumers.|44|female|3|[['windows', 66], ['programs', 74]]|[['cost', 16], ['efficient', 21], ['laptop', 31], ['ability', 51], ['to', 59], ['run', 62], ['windows', 66], ['programs', 74], ['like', 83], ['word', 88], ['able', 109], ['to', 114], ['surf', 117], ['the', 122], ['web', 126], ['to', 130], ['check', 133], ['email', 139], ['news', 146], ['facebook', 152], ['etc', 161], ['reliable', 186], ['highly', 199], ['rated', 206], ['by', 212], ['consumers', 215]]|[['cost', 16], ['efficient', 21], ['run', 62], ['windows', 66], ['programs', 74], ['like', 83], ['word', 88], ['highly', 199], ['rated', 206], ['by', 212], ['consumers', 215]]||[['cost', 16], ['efficient', 21], ['run', 62], ['windows', 66], ['programs', 74], ['like', 83], ['word', 88], ['highly', 199], ['rated', 206], ['by', 212], ['consumers', 215]]|0.13316790736145578|['highly rated by consumers', 'reliable', 'able to surf the web to check email, news, facebook etc', 'ability to run Windows programs like Word', 'cost efficient']|[['efficient', 21], ['laptop', 31], ['reliable', 186], ['and', 195], ['highly', 199], ['rated', 206]]|[['efficient', 21], ['highly', 199]]|[['cost', 16], ['efficient', 21], ['laptop', 31], ['reliable', 186], ['and', 195], ['highly', 199], ['rated', 206]]||[['efficient', 21], ['laptop', 31], ['reliable', 186], ['and', 195], ['highly', 199], ['rated', 206]]|0.6267806267806268|
1881|laptop|I would like a laptop with relatively new technology. One which out performs the last in speed and efficiency. It doesn't need to be top of the range as I don't want to spend that much money. Something fairly sleek with a couple of new features that weren't present in my old one.  more RAM and a bigger hard drive. |36|male|5|[['new', 38], ['technology', 42], ['much', 180], ['money', 185], ['fairly', 202], ['sleek', 209], ['more', 282], ['ram', 287], ['bigger', 297], ['hard', 304], ['drive', 309]]|[['relatively', 27], ['new', 38], ['technology', 42], ['performs', 68], ['the', 77], ['last', 81], ['in', 86], ['speed', 89], ['and', 95], ['efficiency', 99], ['top', 133], ['of', 137], ['the', 140], ['range', 144], ['sleek', 209], ['more', 282], ['ram', 287], ['and', 291], ['bigger', 297], ['hard', 304], ['drive', 309]]|[['relatively', 27], ['new', 38], ['technology', 42], ['last', 81], ['in', 86], ['speed', 89], ['and', 95], ['efficiency', 99], ['top', 133], ['of', 137], ['the', 140], ['range', 144], ['as', 150], ['spend', 169], ['that', 175], ['much', 180], ['money', 185], ['fairly', 202], ['sleek', 209], ['new', 232], ['features', 236], ['more', 282], ['ram', 287], ['bigger', 297], ['hard', 304], ['drive', 309]]||[['relatively', 27], ['new', 38], ['technology', 42], ['last', 81], ['in', 86], ['speed', 89], ['and', 95], ['efficiency', 99], ['top', 133], ['of', 137], ['the', 140], ['range', 144], ['much', 180], ['money', 185], ['fairly', 202], ['sleek', 209], ['more', 282], ['ram', 287], ['bigger', 297], ['hard', 304], ['drive', 309]]|0.48038957620426426|['bigger hard drive', 'more RAM', 'new features', 'fairly sleek', 'spend that much money', 'top of the range ', 'performs the last in speed and efficiency', 'relatively new technology']|[['relatively', 27], ['new', 38], ['technology', 42], ['speed', 89], ['and', 95], ['much', 180], ['money', 185], ['fairly', 202], ['sleek', 209], ['with', 215], ['new', 232], ['features', 236], ['bigger', 297], ['hard', 304]]|[['much', 180], ['fairly', 202], ['more', 282], ['bigger', 297]]|[['relatively', 27], ['new', 38], ['technology', 42], ['last', 81], ['in', 86], ['much', 180], ['money', 185], ['fairly', 202], ['sleek', 209], ['with', 215], ['couple', 222], ['of', 229], ['new', 232], ['features', 236], ['bigger', 297], ['hard', 304]]||[['relatively', 27], ['new', 38], ['technology', 42], ['much', 180], ['money', 185], ['fairly', 202], ['sleek', 209], ['with', 215], ['new', 232], ['features', 236], ['bigger', 297], ['hard', 304]]|0.4292220113851992|
1882|laptop|I am going to stick with a newer version of the HP laptops, but with more memory and a faster processor so i can work on more applications at the same time. |55|male|5|[['hp', 48], ['laptops', 51], ['memory', 74], ['and', 81], ['faster', 87], ['processor', 94]]|[['newer', 27], ['version', 33], ['of', 41], ['the', 44], ['hp', 48], ['laptops', 51], ['more', 69], ['memory', 74], ['faster', 87], ['processor', 94], ['so', 104]]|[['newer', 27], ['version', 33], ['of', 41], ['the', 44], ['hp', 48], ['laptops', 51], ['more', 69], ['memory', 74], ['faster', 87], ['processor', 94]]||[['newer', 27], ['version', 33], ['of', 41], ['the', 44], ['hp', 48], ['laptops', 51], ['more', 69], ['memory', 74], ['faster', 87], ['processor', 94]]|0.6430488459473966|['faster processor ', 'more memory', 'newer version of the HP laptops']|[['newer', 27], ['version', 33], ['more', 69], ['memory', 74], ['faster', 87], ['processor', 94]]|[['more', 69], ['faster', 87]]|[['newer', 27], ['version', 33], ['more', 69], ['faster', 87], ['processor', 94]]||[['newer', 27], ['version', 33], ['more', 69], ['faster', 87], ['processor', 94]]|0.6478220574606117|
1883|laptop|For a replacement laptop, I would choose an Apple macbook|19|female|3|[['apple', 44], ['macbook', 50]]|[['apple', 44], ['macbook', 50]]|[['apple', 44], ['macbook', 50]]||[['apple', 44], ['macbook', 50]]|1.0|['Apple macbook']|[]|[]|[]||[]|1.0|
1884|laptop|I want a macbook pro as I've heard good things about them. Hopefully wouldn't be slow like my last one.|27|female|3|[['macbook', 9], ['pro', 17]]|[['macbook', 9], ['pro', 17], ['slow', 81]]|[['macbook', 9], ['pro', 17], ['slow', 81], ['like', 86]]||[['macbook', 9], ['pro', 17], ['slow', 81]]|0.746588693957115|['slow', 'macbook pro']|[['good', 35], ['things', 40]]|[['good', 35], ['slow', 81]]|[['slow', 81], ['like', 86]]||[['good', 35], ['slow', 81]]|0.2777777777777778|
